2025-06-27 05:29:07.578 [INFO    ] Logging started [root]
2025-06-27 05:29:07.578 [DEBUG   ] Using:command (all), data-dir (/home/portnoy/u0/sytoanngo/ONEFlux/data), site-id (RR-008), site-dir (/home/portnoy/u0/sytoanngo/ONEFlux/data/RoundRobin_input/RR-008), first-year (2020), last-year (2024), perc (['1.25', '3.75', '6.25', '8.75', '11.25', '13.75', '16.25', '18.75', '21.25', '23.75', '26.25', '28.75', '31.25', '33.75', '36.25', '38.75', '41.25', '43.75', '46.25', '48.75', '51.25', '53.75', '56.25', '58.75', '61.25', '63.75', '66.25', '68.75', '71.25', '73.75', '76.25', '78.75', '81.25', '83.75', '86.25', '88.75', '91.25', '93.75', '96.25', '98.75', '50']), prod (['c', 'y']), log-file (/home/portnoy/u0/sytoanngo/ONEFlux/43d2686a-c815-43ea-88c7-3af0f163206b.log), force-py (False), versionp (RR), versiond (1), era-fy (1981), era-ly (2024) [__main__]
2025-06-27 05:29:07.579 [INFO    ] Starting execution: all [__main__]
2025-06-27 05:29:07.579 [INFO    ] Namespace(command='all', datadir='/home/portnoy/u0/sytoanngo/ONEFlux/data', erafy=1981, eraly=2024, erasource='/home/portnoy/u0/sytoanngo/ONEFlux/data/RoundRobin_input/RR-008/06_meteo_era__input', firstyear=2020, forcepy=False, lastyear=2024, logfile='/home/portnoy/u0/sytoanngo/ONEFlux/43d2686a-c815-43ea-88c7-3af0f163206b.log', mcr_directory='/home/portnoy/u0/sytoanngo/ONEFlux/matlab/matlab_runtime/v94', perc=None, prod=None, recint='hh', sitedir='/home/portnoy/u0/sytoanngo/ONEFlux/data/RoundRobin_input/RR-008', siteid='RR-008', timestamp='20250627T052907', versiond='1', versionp='RR') [__main__]
2025-06-27 05:29:07.579 [INFO    ] Started processing site dir /home/portnoy/u0/sytoanngo/ONEFlux/data/RoundRobin_input/RR-008 [oneflux.tools.pipeline]
2025-06-27 05:29:07.579 [INFO    ] ONEFlux Pipeline: initialization started [oneflux.pipeline.wrappers]
2025-06-27 05:29:07.580 [DEBUG   ] ONEFlux Pipeline: keyword arguments: {'nee_partition_nt_execute': True, 'energy_proc_execute': True, 'prepare_ure_execute': True, 'perc_to_compare': ['1.25', '3.75', '6.25', '8.75', '11.25', '13.75', '16.25', '18.75', '21.25', '23.75', '26.25', '28.75', '31.25', '33.75', '36.25', '38.75', '41.25', '43.75', '46.25', '48.75', '51.25', '53.75', '56.25', '58.75', '61.25', '63.75', '66.25', '68.75', '71.25', '73.75', '76.25', '78.75', '81.25', '83.75', '86.25', '88.75', '91.25', '93.75', '96.25', '98.75', '50'], 'prod_to_compare': ['c', 'y'], 'fluxnet2015_version_processing': 'RR', 'data_dir': '/home/portnoy/u0/sytoanngo/ONEFlux/data/RoundRobin_input/RR-008', 'era_first_timestamp_start': '198101010000', 'era_source_dir': '/home/portnoy/u0/sytoanngo/ONEFlux/data/RoundRobin_input/RR-008/06_meteo_era__input', 'meteo_proc_execute': True, 'tool_dir': '/home/portnoy/u0/sytoanngo/bin/oneflux', 'ustar_mp_execute': True, 'fluxnet2015_version_data': '1', 'ustar_cp_execute': True, 'nee_proc_execute': True, 'ure_execute': True, 'site_dir': '/home/portnoy/u0/sytoanngo/ONEFlux/data/RoundRobin_input/RR-008', 'qc_auto_execute': True, 'fluxnet2015_first_t1': 2020, 'fluxnet2015_last_t1': 2024, 'ustar_cp_mcr_dir': '/home/portnoy/u0/sytoanngo/ONEFlux/matlab/matlab_runtime/v94', 'fluxnet2015_site_plots': True, 'data_dir_main': '/home/portnoy/u0/sytoanngo/ONEFlux/data', 'record_interval': 'hh', 'meteo_era_execute': True, 'era_last_timestamp_start': '202412312330', 'simulation': False, 'first_year': 2020, 'last_year': 2024, 'nee_partition_dt_execute': True, 'fluxnet2015_execute': True} [oneflux.pipeline.wrappers]
2025-06-27 05:29:07.580 [ERROR   ] Pipeline: unknown config attribute: 'era_first_timestamp_start' [oneflux.pipeline.wrappers]
2025-06-27 05:29:07.580 [ERROR   ] Pipeline: unknown config attribute: 'era_source_dir' [oneflux.pipeline.wrappers]
2025-06-27 05:29:07.580 [ERROR   ] Pipeline: unknown config attribute: 'site_dir' [oneflux.pipeline.wrappers]
2025-06-27 05:29:07.580 [ERROR   ] Pipeline: unknown config attribute: 'era_last_timestamp_start' [oneflux.pipeline.wrappers]
