2024-08-27 08:49:25.691 [INFO    ] Logging started [root]
2024-08-27 08:49:25.691 [DEBUG   ] Using:command (all), data-dir (/home/portnoy/u0/sytoanngo/ONEFlux/data), site-id (US-ARc), site-dir (US-ARc_sample_input), first-year (2005), last-year (2006), perc (['1.25', '3.75', '6.25', '8.75', '11.25', '13.75', '16.25', '18.75', '21.25', '23.75', '26.25', '28.75', '31.25', '33.75', '36.25', '38.75', '41.25', '43.75', '46.25', '48.75', '51.25', '53.75', '56.25', '58.75', '61.25', '63.75', '66.25', '68.75', '71.25', '73.75', '76.25', '78.75', '81.25', '83.75', '86.25', '88.75', '91.25', '93.75', '96.25', '98.75', '50']), prod (['c', 'y']), log-file (/home/portnoy/u0/sytoanngo/ONEFlux/83403b51-286c-4315-ac57-b7ce4bef87f5.log), force-py (False), versionp (5), versiond (beta), era-fy (1989), era-ly (2014) [__main__]
2024-08-27 08:49:25.692 [INFO    ] Starting execution: all [__main__]
2024-08-27 08:49:25.692 [INFO    ] Started processing site dir US-ARc_sample_input [oneflux.tools.pipeline]
2024-08-27 08:49:25.692 [INFO    ] ONEFlux Pipeline: initialization started [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [DEBUG   ] ONEFlux Pipeline: keyword arguments: {'nee_partition_nt_execute': False, 'energy_proc_execute': False, 'prepare_ure_execute': False, 'perc_to_compare': ['1.25', '3.75', '6.25', '8.75', '11.25', '13.75', '16.25', '18.75', '21.25', '23.75', '26.25', '28.75', '31.25', '33.75', '36.25', '38.75', '41.25', '43.75', '46.25', '48.75', '51.25', '53.75', '56.25', '58.75', '61.25', '63.75', '66.25', '68.75', '71.25', '73.75', '76.25', '78.75', '81.25', '83.75', '86.25', '88.75', '91.25', '93.75', '96.25', '98.75', '50'], 'prod_to_compare': ['c', 'y'], 'fluxnet2015_version_processing': '5', 'data_dir': '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input', 'era_first_timestamp_start': '198901010000', 'meteo_proc_execute': False, 'tool_dir': '/home/portnoy/u0/sytoanngo/bin/oneflux', 'ustar_mp_execute': False, 'fluxnet2015_version_data': 'beta', 'ustar_cp_execute': False, 'nee_proc_execute': False, 'ure_execute': False, 'site_dir': 'US-ARc_sample_input', 'qc_auto_execute': False, 'fluxnet2015_first_t1': 2005, 'fluxnet2015_last_t1': 2006, 'ustar_cp_mcr_dir': '/home/portnoy/u0/sytoanngo/ONEFlux/matlab/matlab_runtime/v94/', 'fluxnet2015_site_plots': True, 'data_dir_main': '/home/portnoy/u0/sytoanngo/ONEFlux/data', 'record_interval': 'hh', 'era_last_timestamp_start': '201412312330', 'simulation': False, 'first_year': 2005, 'last_year': 2006, 'nee_partition_dt_execute': False, 'fluxnet2015_execute': True} [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [ERROR   ] Pipeline: unknown config attribute: 'era_first_timestamp_start' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [ERROR   ] Pipeline: unknown config attribute: 'site_dir' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [ERROR   ] Pipeline: unknown config attribute: 'era_last_timestamp_start' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [DEBUG   ] ONEFlux Pipeline: setting up for site 'US-ARc' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [DEBUG   ] ONEFlux Pipeline: using data dir '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [DEBUG   ] ONEFlux Pipeline: using tool dir '/home/portnoy/u0/sytoanngo/bin/oneflux' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [DEBUG   ] ONEFlux Pipeline: using record interval 'hh' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.693 [DEBUG   ] ONEFlux Pipeline: using validate on create 'False' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.694 [DEBUG   ] ONEFlux Pipeline: using simulation 'False' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.694 [DEBUG   ] ONEFlux Pipeline: using ERA first timestamp start '198901010000' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.694 [DEBUG   ] ONEFlux Pipeline: using ERA last timestamp start '201412312330' [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.694 [INFO    ] ONEFlux Pipeline: initialization finished [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.694 [INFO    ] US-ARc [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.694 [INFO    ] US-ARc Pipeline: execution started [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.694 [DEBUG   ] Pipeline data directory is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input' [oneflux.pipeline.common]
2024-08-27 08:49:25.695 [DEBUG   ] Pipeline tool directory is '/home/portnoy/u0/sytoanngo/bin/oneflux' [oneflux.pipeline.common]
2024-08-27 08:49:25.696 [INFO    ] Pipeline logging started [root]
2024-08-27 08:49:25.696 [INFO    ] Pipeline fluxnet2015 execution started [oneflux.pipeline.wrappers]
2024-08-27 08:49:25.696 [DEBUG   ] Pipeline qc_visual.post_validate directory is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/01_qc_visual' [oneflux.pipeline.common]
2024-08-27 08:49:25.697 [DEBUG   ] Pipeline qc_visual.post_validate directory is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/01_qc_visual/qcv_files' [oneflux.pipeline.common]
2024-08-27 08:49:25.697 [DEBUG   ] Pipeline qc_visual.post_validate directory is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/01_qc_visual/qcv_files' [oneflux.pipeline.common]
2024-08-27 08:49:25.698 [DEBUG   ] Pipeline qc_visual.post_validate in '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/01_qc_visual/qcv_files' found file pattern 'US-ARc_qcv_????.csv' (2 occurrences): ['US-ARc_qcv_2005.csv', 'US-ARc_qcv_2006.csv'] [oneflux.pipeline.common]
2024-08-27 08:49:25.698 [DEBUG   ] Pipeline meteo_proc.post_validate directory is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc' [oneflux.pipeline.common]
2024-08-27 08:49:25.699 [DEBUG   ] Pipeline meteo_proc.post_validate file is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc/US-ARc_meteo_hh.csv' [oneflux.pipeline.common]
2024-08-27 08:49:25.700 [DEBUG   ] Pipeline meteo_proc.post_validate file is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc/US-ARc_meteo_dd.csv' [oneflux.pipeline.common]
2024-08-27 08:49:25.700 [DEBUG   ] Pipeline meteo_proc.post_validate file is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc/US-ARc_meteo_ww.csv' [oneflux.pipeline.common]
2024-08-27 08:49:25.701 [DEBUG   ] Pipeline meteo_proc.post_validate file is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc/US-ARc_meteo_mm.csv' [oneflux.pipeline.common]
2024-08-27 08:49:25.701 [DEBUG   ] Pipeline meteo_proc.post_validate file is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc/US-ARc_meteo_yy.csv' [oneflux.pipeline.common]
2024-08-27 08:49:25.702 [DEBUG   ] Pipeline meteo_proc.post_validate directory is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc' [oneflux.pipeline.common]
2024-08-27 08:49:25.703 [DEBUG   ] Pipeline meteo_proc.post_validate in '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc' found file pattern 'report_*.txt' (1 occurrences): ['report_rocky_run20240611T140533.txt'] [oneflux.pipeline.common]
2024-08-27 08:49:25.703 [DEBUG   ] Pipeline meteo_proc.post_validate file is '/home/portnoy/u0/sytoanngo/ONEFlux/data/US-ARc_sample_input/07_meteo_proc/US-ARc_meteo_hh_info.txt' [oneflux.pipeline.common]
